"candidate_id","name_zh","wikidata_id","discovery_categories","discovery_source","already_in_corpus","candidate_status","retrieved_at"
"Q709518","洪仁玕","Q709518","清朝思想家","https://zh.wikipedia.org/wiki/%E6%B4%AA%E4%BB%81%E7%8E%95","false","awaiting-scope-review","2026-07-17"
"Q4501976","胡安国","Q4501976","中国哲学家","https://zh.wikipedia.org/wiki/%E8%83%A1%E5%AE%89%E5%9B%BD","false","awaiting-scope-review","2026-07-17"
"Q4501983","胡宏 (理学家)","Q4501983","中国思想家","https://zh.wikipedia.org/wiki/%E8%83%A1%E5%AE%8F_(%E7%90%86%E5%AD%A6%E5%AE%B6)","false","awaiting-scope-review","2026-07-17"
"Q1407644","胡绩伟","Q1407644","中国思想家","https://zh.wikipedia.org/wiki/%E8%83%A1%E7%BB%A9%E4%BC%9F","false","awaiting-scope-review","2026-07-17"
"Q20063973","胡禮垣","Q20063973","中国思想家","https://zh.wikipedia.org/wiki/%E8%83%A1%E7%A6%AE%E5%9E%A3","false","awaiting-scope-review","2026-07-17"
"Q15632621","胡绳","Q15632621","中国哲学家","https://zh.wikipedia.org/wiki/%E8%83%A1%E7%BB%B3","false","awaiting-scope-review","2026-07-17"
"Q8288375","胡世华","Q8288375","中国逻辑学家","https://zh.wikipedia.org/wiki/%E8%83%A1%E4%B8%96%E5%8D%8E","false","awaiting-scope-review","2026-07-17"
"Q11611769","胡應麟","Q11611769","中国思想家","https://zh.wikipedia.org/wiki/%E8%83%A1%E6%87%89%E9%BA%9F","false","awaiting-scope-review","2026-07-17"
"Q1131375","桓譚","Q1131375","中国思想家","https://zh.wikipedia.org/wiki/%E6%A1%93%E8%AD%9A","false","awaiting-scope-review","2026-07-17"
"Q110406339","黄凤祝","Q110406339","中国哲学家","https://zh.wikipedia.org/wiki/%E9%BB%84%E5%87%A4%E7%A5%9D","false","awaiting-scope-review","2026-07-17"
"Q110107715","黄顺基","Q110107715","中国哲学家","https://zh.wikipedia.org/wiki/%E9%BB%84%E9%A1%BA%E5%9F%BA","false","awaiting-scope-review","2026-07-17"
"Q11177321","黄宗会","Q11177321","中国思想家","https://zh.wikipedia.org/wiki/%E9%BB%84%E5%AE%97%E4%BC%9A","false","awaiting-scope-review","2026-07-17"
"Q31754","黄宗羲","Q31754","明朝思想家","https://zh.wikipedia.org/wiki/%E9%BB%84%E5%AE%97%E7%BE%B2","true","already-included","2026-07-17"
"Q11175972","黃以周","Q11175972","清朝思想家","https://zh.wikipedia.org/wiki/%E9%BB%83%E4%BB%A5%E5%91%A8","false","awaiting-scope-review","2026-07-17"
"Q45418419","黃宗炎","Q45418419","中国思想家","https://zh.wikipedia.org/wiki/%E9%BB%83%E5%AE%97%E7%82%8E","false","awaiting-scope-review","2026-07-17"
"Q943012","惠施","Q943012","中国逻辑学家","https://zh.wikipedia.org/wiki/%E6%83%A0%E6%96%BD","true","already-included","2026-07-17"
"Q9372330","霍韜晦","Q9372330","中国哲学家","https://zh.wikipedia.org/wiki/%E9%9C%8D%E9%9F%9C%E6%99%A6","false","awaiting-scope-review","2026-07-17"
"Q712287","吉藏","Q712287","中国哲学家","https://zh.wikipedia.org/wiki/%E5%90%89%E8%97%8F","true","already-included","2026-07-17"
"Q5366140","贾逵 (东汉)","Q5366140","中国思想家","https://zh.wikipedia.org/wiki/%E8%B4%BE%E9%80%B5_(%E4%B8%9C%E6%B1%89)","false","awaiting-scope-review","2026-07-17"
"Q23296698","江緒林","Q23296698","中国政治哲学家","https://zh.wikipedia.org/wiki/%E6%B1%9F%E7%B7%92%E6%9E%97","false","awaiting-scope-review","2026-07-17"
"Q206676","姜戎 (作家)","Q206676","中华人民共和国思想家","https://zh.wikipedia.org/wiki/%E5%A7%9C%E6%88%8E_(%E4%BD%9C%E5%AE%B6)","false","awaiting-scope-review","2026-07-17"
"Q18744403","蒋智由","Q18744403","中国政治哲学家","https://zh.wikipedia.org/wiki/%E8%92%8B%E6%99%BA%E7%94%B1","false","awaiting-scope-review","2026-07-17"
"Q17035603","蔣垣","Q17035603","中国哲学家","https://zh.wikipedia.org/wiki/%E8%94%A3%E5%9E%A3","false","awaiting-scope-review","2026-07-17"
"Q15904979","焦循","Q15904979","中国思想家","https://zh.wikipedia.org/wiki/%E7%84%A6%E5%BE%AA","true","already-included","2026-07-17"
"Q15942228","金春峰","Q15942228","中国哲学家","https://zh.wikipedia.org/wiki/%E9%87%91%E6%98%A5%E5%B3%B0","false","awaiting-scope-review","2026-07-17"
"Q8460498","金觀濤","Q8460498","中国哲学家","https://zh.wikipedia.org/wiki/%E9%87%91%E8%A7%80%E6%BF%A4","false","awaiting-scope-review","2026-07-17"
"Q329906","金岳霖","Q329906","中国逻辑学家","https://zh.wikipedia.org/wiki/%E9%87%91%E5%B2%B3%E9%9C%96","true","already-included","2026-07-17"
"Q11090057","景昌極","Q11090057","中国思想家;中国哲学家","https://zh.wikipedia.org/wiki/%E6%99%AF%E6%98%8C%E6%A5%B5","false","awaiting-scope-review","2026-07-17"
"Q360135","康有为","Q360135","中国思想家","https://zh.wikipedia.org/wiki/%E5%BA%B7%E6%9C%89%E4%B8%BA","true","already-included","2026-07-17"
"Q4604","孔子","Q4604","中国思想家;中国哲学家;中国政治哲学家","https://zh.wikipedia.org/wiki/%E5%AD%94%E5%AD%90","true","already-included","2026-07-17"
"Q9333","老子","Q9333","中国思想家;中国哲学家;中国政治哲学家","https://zh.wikipedia.org/wiki/%E8%80%81%E5%AD%90","true","already-included","2026-07-17"
"Q700284","李翱","Q700284","中国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%BF%B1","true","already-included","2026-07-17"
"Q11095355","李侗","Q11095355","中国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E4%BE%97","false","awaiting-scope-review","2026-07-17"
"Q11097685","李紱","Q11097685","中国哲学家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%B4%B1","false","awaiting-scope-review","2026-07-17"
"Q4260681","李塨","Q4260681","中国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%A1%A8","true","already-included","2026-07-17"
"Q8274613","李汉俊","Q8274613","中华民国大陆时期思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%B1%89%E4%BF%8A","false","awaiting-scope-review","2026-07-17"
"Q30941738","李劼 (1955年)","Q30941738","中华人民共和国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E5%8A%BC_(1955%E5%B9%B4)","false","awaiting-scope-review","2026-07-17"
"Q716190","李悝","Q716190","中国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%82%9D","false","awaiting-scope-review","2026-07-17"
"Q6539067","李慎之","Q6539067","中华人民共和国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%85%8E%E4%B9%8B","false","awaiting-scope-review","2026-07-17"
"Q6539068","李石岑","Q6539068","中国哲学家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%9F%B3%E5%B2%91","false","awaiting-scope-review","2026-07-17"
"Q152919","李斯","Q152919","中国思想家","https://zh.wikipedia.org/wiki/%E6%9D%8E%E6%96%AF","true","already-included","2026-07-17"
